Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200103:1030,0.0,0.0,6.99,2.28,0.0
20200103:1130,0.0,0.0,6.65,2.34,0.0
20200103:1230,0.0,0.0,6.37,2.07,0.0
20200103:1330,8.07,3.63,6.2,1.79,0.0
20200103:1430,66.55,12.12,5.94,1.52,0.0
20200103:1530,219.67,18.95,6.52,1.72,0.0
20200103:1630,392.19,23.57,7.32,2.28,0.0
20200103:1730,315.44,25.48,8.03,1.93,0.0
20200103:1830,198.18,24.42,8.45,1.72,0.0
20200103:1930,126.03,20.55,8.25,1.79,0.0
20200103:2030,85.48,14.31,8.36,1.59,0.0
20200103:2130,23.16,6.25,8.09,1.17,0.0
20200103:2230,0.0,-3.12,7.43,1.1,0.0
20200103:2330,0.0,0.0,6.56,1.52,0.0
20200104:0030,0.0,0.0,6.1,2.14,0.0
20200104:0130,0.0,0.0,5.58,2.48,0.0
20200104:0230,0.0,0.0,5.04,2.62,0.0
20200104:0330,0.0,0.0,4.46,2.55,0.0
20200104:0430,0.0,0.0,3.91,2.76,0.0
20200104:0530,0.0,0.0,3.39,3.17,0.0
20200104:0630,0.0,0.0,2.69,3.17,0.0
20200104:0730,0.0,0.0,2.52,2.9,0.0
20200104:0830,0.0,0.0,2.12,2.48,0.0
20200104:0930,0.0,0.0,1.94,1.72,0.0
20200104:1030,0.0,0.0,1.84,1.93,0.0
20200104:1130,0.0,0.0,1.65,2.21,0.0
20200104:1230,0.0,0.0,1.76,2.21,0.0
20200104:1330,19.44,3.64,1.59,2.28,0.0
20200104:1430,65.55,12.15,1.53,2.28,0.0
20200104:1530,235.24,19.0,1.72,3.52,0.0
20200104:1630,196.73,23.65,2.32,3.86,0.0
20200104:1730,120.93,25.57,2.63,4.14,0.0
20200104:1830,178.0,24.54,2.48,4.0,0.0
20200104:1930,140.18,20.69,2.68,4.41,0.0
20200104:2030,93.29,14.45,2.54,4.55,0.0
20200104:2130,21.32,6.39,2.2,4.55,0.0
20200104:2230,0.0,-2.98,1.84,4.76,0.0
20200104:2330,0.0,0.0,1.45,4.62,0.0
20200105:0030,0.0,0.0,1.14,4.41,0.0
20200105:0130,0.0,0.0,0.84,4.62,0.0
20200105:0230,0.0,0.0,0.56,5.17,0.0
20200105:0330,0.0,0.0,0.13,5.45,0.0
20200105:0430,0.0,0.0,-0.09,5.24,0.0
20200105:0530,0.0,0.0,-0.24,4.83,0.0
20200105:0630,0.0,0.0,-0.51,4.55,0.0
20200105:0730,0.0,0.0,-0.98,4.69,0.0
20200105:0830,0.0,0.0,-1.33,4.21,0.0
20200105:0930,0.0,0.0,-1.76,3.79,0.0
20200105:1030,0.0,0.0,-2.22,3.52,0.0
20200105:1130,0.0,0.0,-2.51,3.1,0.0
20200105:1230,0.0,0.0,-2.65,3.17,0.0
20200105:1330,208.01,3.66,-2.88,3.24,0.0
20200105:1430,518.9,12.19,-2.3,3.31,0.0
20200105:1530,610.63,19.06,-1.02,4.69,0.0
20200105:1630,592.19,23.73,-0.01,5.31,0.0
20200105:1730,712.28,25.68,0.69,5.17,0.0
20200105:1830,317.52,24.67,1.77,5.52,0.0
20200105:1930,401.88,20.82,2.18,5.38,0.0
20200105:2030,52.66,14.59,3.04,5.66,0.0
20200105:2130,72.8,6.54,2.94,5.1,0.0
20200105:2230,0.0,-2.83,3.33,5.52,0.0
20200105:2330,0.0,0.0,3.7,6.48,0.0
20200106:0030,0.0,0.0,4.43,6.97,0.0
20200106:0130,0.0,0.0,4.47,7.1,0.0
20200106:0230,0.0,0.0,4.48,7.24,0.0
20200106:0330,0.0,0.0,4.42,7.1,0.0
20200106:0430,0.0,0.0,4.24,6.83,0.0
20200106:0530,0.0,0.0,3.97,6.9,0.0
20200106:0630,0.0,0.0,3.45,6.97,0.0
20200106:0730,0.0,0.0,2.84,6.41,0.0
20200106:0830,0.0,0.0,2.55,6.48,0.0
20200106:0930,0.0,0.0,2.16,6.34,0.0
20200106:1030,0.0,0.0,1.83,6.34,0.0
20200106:1130,0.0,0.0,1.34,5.86,0.0
20200106:1230,0.0,0.0,0.67,5.24,0.0
20200106:1330,231.52,3.68,-0.2,4.83,0.0
20200106:1430,534.34,12.23,-0.38,4.55,0.0
20200106:1530,762.96,19.12,0.56,4.76,0.0
20200106:1630,912.42,23.81,1.87,5.38,0.0
20200106:1730,972.79,25.79,3.27,5.86,0.0
20200106:1830,922.63,24.8,4.42,6.41,0.0
20200106:1930,807.69,20.97,5.48,6.83,0.0
20200106:2030,605.9,14.75,5.83,6.76,0.0
20200106:2130,329.31,6.69,5.59,6.0,0.0
20200106:2230,0.0,-2.68,4.55,5.38,0.0
20200106:2330,0.0,0.0,3.3,5.03,0.0
20200107:0030,0.0,0.0,2.43,4.69,0.0
20200107:0130,0.0,0.0,1.79,4.21,0.0
20200107:0230,0.0,0.0,1.27,3.72,0.0
20200107:0330,0.0,0.0,0.8,3.17,0.0
20200107:0430,0.0,0.0,0.36,2.69,0.0
20200107:0530,0.0,0.0,0.06,2.34,0.0
20200107:0630,0.0,0.0,-0.32,2.28,0.0
20200107:0730,0.0,0.0,-0.32,2.28,0.0
20200107:0830,0.0,0.0,-0.53,2.21,0.0
20200107:0930,0.0,0.0,-0.92,2.21,0.0
20200107:1030,0.0,0.0,-1.34,2.14,0.0
20200107:1130,0.0,0.0,-1.55,2.07,0.0
20200107:1230,0.0,0.0,-1.69,2.07,0.0
20200107:1330,25.18,3.71,-1.71,2.07,0.0
20200107:1430,157.1,12.27,-1.18,2.0,0.0
20200107:1530,490.48,19.19,0.3,2.41,0.0
20200107:1630,642.48,23.91,2.17,2.97,0.0
20200107:1730,722.96,25.91,3.85,3.93,0.0
20200107:1830,631.63,24.94,4.94,4.76,0.0
20200107:1930,581.18,21.12,5.58,5.03,0.0
20200107:2030,390.58,14.9,5.77,5.45,0.0
20200107:2130,202.33,6.85,5.32,5.45,0.0
20200107:2230,0.0,-2.52,4.25,5.59,0.0
20200107:2330,0.0,0.0,3.07,5.1,0.0
20200108:0030,0.0,0.0,2.16,5.03,0.0
20200108:0130,0.0,0.0,1.19,4.76,0.0
20200108:0230,0.0,0.0,0.7,4.48,0.0
20200108:0330,0.0,0.0,0.54,4.28,0.0
20200108:0430,0.0,0.0,0.71,5.1,0.0
20200108:0530,0.0,0.0,0.23,6.07,0.0
20200108:0630,0.0,0.0,0.17,6.34,0.0
20200108:0730,0.0,0.0,-0.09,6.28,0.0
20200108:0830,0.0,0.0,-0.62,5.93,0.0
20200108:0930,0.0,0.0,-1.13,5.72,0.0
20200108:1030,0.0,0.0,-1.56,6.0,0.0
20200108:1130,0.0,0.0,-1.89,6.48,0.0
20200108:1230,0.0,0.0,-2.48,6.69,0.0
20200108:1330,194.7,3.74,-3.3,6.48,0.0
20200108:1430,269.71,12.33,-3.66,6.28,0.0
20200108:1530,568.21,19.27,-3.46,6.62,0.0
20200108:1630,830.26,24.01,-3.03,6.28,0.0
20200108:1730,876.41,26.04,-2.57,5.93,0.0
20200108:1830,694.51,25.08,-2.32,5.66,0.0
20200108:1930,730.64,21.27,-2.67,5.17,0.0
20200108:2030,547.45,15.06,-2.59,4.69,0.0
20200108:2130,350.66,7.01,-2.64,4.21,0.0
20200108:2230,0.0,-2.37,-3.28,2.62,0.0
20200108:2330,0.0,0.0,-4.02,1.79,0.0
20200109:0030,0.0,0.0,-4.81,1.24,0.0
20200109:0130,0.0,0.0,-5.4,1.17,0.0
20200109:0230,0.0,0.0,-5.41,1.1,0.0
20200109:0330,0.0,0.0,-4.53,0.76,0.0
20200109:0430,0.0,0.0,-5.95,1.66,0.0
20200109:0530,0.0,0.0,-5.53,2.07,0.0
20200109:0630,0.0,0.0,-5.22,2.28,0.0
20200109:0730,0.0,0.0,-5.78,3.1,0.0
20200109:0830,0.0,0.0,-5.51,3.17,0.0
20200109:0930,0.0,0.0,-5.27,3.59,0.0
20200109:1030,0.0,0.0,-5.16,4.21,0.0
20200109:1130,0.0,0.0,-4.99,4.55,0.0
20200109:1230,0.0,0.0,-4.7,4.69,0.0
20200109:1330,182.02,3.78,-4.57,4.76,0.0
20200109:1430,485.1,12.39,-3.8,4.48,0.0
20200109:1530,427.72,19.36,-1.93,5.1,0.0
20200109:1630,445.26,24.12,0.15,5.38,0.0
20200109:1730,303.7,26.17,2.4,5.59,0.0
20200109:1830,383.31,25.24,4.15,5.45,0.0
20200109:1930,266.22,21.44,6.32,6.14,0.0
20200109:2030,165.68,15.23,7.5,7.17,0.0
20200109:2130,82.78,7.18,8.14,7.31,0.0
20200109:2230,0.0,-2.2,8.2,7.66,0.0
20200109:2330,0.0,0.0,8.21,8.07,0.0
20200110:0030,0.0,0.0,8.48,7.93,0.0
20200110:0130,0.0,0.0,8.2,7.38,0.0
20200110:0230,0.0,0.0,8.01,7.52,0.0
20200110:0330,0.0,0.0,8.23,7.72,0.0
20200110:0430,0.0,0.0,8.11,7.79,0.0
20200110:0530,0.0,0.0,8.22,7.86,0.0
20200110:0630,0.0,0.0,7.99,7.93,0.0
20200110:0730,0.0,0.0,6.69,6.62,0.0
20200110:0830,0.0,0.0,6.44,6.41,0.0
20200110:0930,0.0,0.0,6.68,6.14,0.0
20200110:1030,0.0,0.0,6.95,5.93,0.0
20200110:1130,0.0,0.0,7.18,5.79,0.0
20200110:1230,0.0,0.0,7.46,5.52,0.0
20200110:1330,6.22,3.83,7.71,5.1,0.0
20200110:1430,21.04,12.46,8.12,4.97,0.0
20200110:1530,25.76,19.45,8.52,5.03,0.0
20200110:1630,53.0,24.24,9.01,5.31,0.0
20200110:1730,34.13,26.31,9.58,5.1,0.0
20200110:1830,41.72,25.39,9.85,4.97,0.0
20200110:1930,40.57,21.61,10.36,4.48,0.0
20200110:2030,16.98,15.4,10.76,4.41,0.0
20200110:2130,11.29,7.35,10.82,3.79,0.0
20200110:2230,0.0,-2.03,10.75,3.1,0.0
20200110:2330,0.0,0.0,10.53,2.97,0.0
20200111:0030,0.0,0.0,10.49,2.83,0.0
20200111:0130,0.0,0.0,10.54,2.83,0.0
20200111:0230,0.0,0.0,10.66,3.31,0.0
20200111:0330,0.0,0.0,11.27,4.07,0.0
20200111:0430,0.0,0.0,11.68,4.9,0.0
20200111:0530,0.0,0.0,11.95,5.72,0.0
20200111:0630,0.0,0.0,12.34,6.76,0.0
20200111:0730,0.0,0.0,12.71,6.9,0.0
20200111:0830,0.0,0.0,12.9,7.31,0.0
20200111:0930,0.0,0.0,13.2,7.79,0.0
20200111:1030,0.0,0.0,13.67,8.28,0.0
20200111:1130,0.0,0.0,14.15,8.83,0.0
20200111:1230,0.0,0.0,14.6,8.97,0.0
20200111:1330,6.62,3.88,14.83,9.45,0.0
20200111:1430,50.61,12.53,15.22,9.93,0.0
20200111:1530,17.68,19.55,15.92,10.14,0.0
20200111:1630,18.83,24.37,16.27,6.97,0.0
20200111:1730,30.22,26.46,12.94,3.31,0.0
20200111:1830,16.54,25.56,6.03,7.72,0.0
20200111:1930,18.08,21.78,3.51,6.48,0.0
20200111:2030,14.7,15.58,2.33,5.45,0.0
20200111:2130,7.19,7.52,2.49,4.97,0.0
20200111:2230,0.0,-1.86,2.46,4.55,0.0
20200111:2330,0.0,0.0,2.39,4.69,0.0
20200112:0030,0.0,0.0,2.15,5.03,0.0
20200112:0130,0.0,0.0,1.93,4.9,0.0
20200112:0230,0.0,0.0,1.72,4.83,0.0
20200112:0330,0.0,0.0,1.57,4.55,0.0
20200112:0430,0.0,0.0,1.14,5.24,0.0
20200112:0530,0.0,0.0,0.69,4.48,0.0
20200112:0630,0.0,0.0,0.38,4.0,0.0
20200112:0730,0.0,0.0,-0.47,5.45,0.0
20200112:0830,0.0,0.0,-1.04,6.14,0.0
20200112:0930,0.0,0.0,-1.65,6.48,0.0
20200112:1030,0.0,0.0,-2.19,4.69,0.0
20200112:1130,0.0,0.0,-2.79,3.59,0.0
20200112:1230,0.0,0.0,-3.11,3.31,0.0
20200112:1330,111.92,3.94,-3.24,3.45,0.0
20200112:1430,202.28,12.61,-3.03,3.45,0.0
20200112:1530,393.06,19.65,-2.49,2.69,0.0
20200112:1630,456.22,24.5,-1.73,2.07,0.0
20200112:1730,500.24,26.62,-0.91,1.79,0.0
20200112:1830,323.32,25.73,-0.17,1.72,0.0
20200112:1930,202.65,21.96,0.32,1.17,0.0
20200112:2030,158.82,15.76,0.46,0.34,0.0
20200112:2130,61.08,7.7,0.56,0.9,0.0
20200112:2230,0.0,-1.69,0.51,1.86,0.0
20200112:2330,0.0,0.0,0.25,2.34,0.0
20200113:0030,0.0,0.0,-0.08,2.97,0.0
20200113:0130,0.0,0.0,-0.43,3.52,0.0
20200113:0230,0.0,0.0,-0.57,3.59,0.0
20200113:0330,0.0,0.0,-0.54,3.66,0.0
20200113:0430,0.0,0.0,-0.37,3.59,0.0
20200113:0530,0.0,0.0,-0.08,3.38,0.0
20200113:0630,0.0,0.0,0.28,3.03,0.0
20200113:0730,0.0,0.0,0.53,2.55,0.0
20200113:0830,0.0,0.0,0.71,1.52,0.0
20200113:0930,0.0,0.0,1.06,0.97,0.0
20200113:1030,0.0,0.0,0.92,1.1,0.0
20200113:1130,0.0,0.0,1.31,1.79,0.0
20200113:1230,0.0,0.0,1.63,2.41,0.0
20200113:1330,80.73,4.01,1.93,2.69,0.0
20200113:1430,129.21,12.7,2.61,2.83,0.0
20200113:1530,284.64,19.76,3.25,3.52,0.0
20200113:1630,193.44,24.64,3.69,4.69,0.0
20200113:1730,312.59,26.78,3.94,4.48,0.0
20200113:1830,233.2,25.91,4.38,4.21,0.0
20200113:1930,225.89,22.15,4.35,4.07,0.0
20200113:2030,184.37,15.95,4.43,3.59,0.0
20200113:2130,147.73,7.89,4.41,3.1,0.0
20200113:2230,0.0,-1.51,3.84,1.86,0.0
20200113:2330,0.0,0.0,3.0,1.1,0.0
20200114:0030,0.0,0.0,2.66,0.21,0.0
20200114:0130,0.0,0.0,0.93,1.1,0.0
20200114:0230,0.0,0.0,-0.09,1.86,0.0
20200114:0330,0.0,0.0,-0.25,2.34,0.0
20200114:0430,0.0,0.0,-0.05,2.62,0.0
20200114:0530,0.0,0.0,-0.09,2.9,0.0
20200114:0630,0.0,0.0,-0.37,3.31,0.0
20200114:0730,0.0,0.0,-0.21,3.66,0.0
20200114:0830,0.0,0.0,-0.2,3.66,0.0
20200114:0930,0.0,0.0,-0.38,3.59,0.0
20200114:1030,0.0,0.0,-0.46,3.24,0.0
20200114:1130,0.0,0.0,-0.59,2.48,0.0
20200114:1230,0.0,0.0,-0.77,2.28,0.0
20200114:1330,214.86,4.08,-0.65,2.07,0.0
20200114:1430,434.19,12.79,0.27,2.07,0.0
20200114:1530,520.76,19.88,2.73,2.97,0.0
20200114:1630,853.64,24.78,4.79,4.07,0.0
20200114:1730,950.41,26.95,6.71,5.59,0.0
20200114:1830,929.79,26.1,8.08,6.69,0.0
20200114:1930,839.92,22.34,8.45,6.07,0.0
20200114:2030,654.07,16.14,8.95,5.86,0.0
20200114:2130,320.01,8.07,8.79,5.72,0.0
20200114:2230,0.0,-1.32,7.6,5.17,0.0
20200114:2330,0.0,0.0,6.2,4.9,0.0
20200115:0030,0.0,0.0,5.35,4.76,0.0
20200115:0130,0.0,0.0,4.47,4.55,0.0
20200115:0230,0.0,0.0,3.77,4.14,0.0
20200115:0330,0.0,0.0,3.0,3.66,0.0
20200115:0430,0.0,0.0,2.25,3.1,0.0
20200115:0530,0.0,0.0,1.43,2.62,0.0
20200115:0630,0.0,0.0,0.68,2.34,0.0
20200115:0730,0.0,0.0,0.12,1.93,0.0
20200115:0830,0.0,0.0,0.48,0.62,0.0
20200115:0930,0.0,0.0,-1.6,1.38,0.0
20200115:1030,0.0,0.0,-2.5,1.72,0.0
20200115:1130,0.0,0.0,-2.15,1.17,0.0
20200115:1230,0.0,0.0,-2.57,1.66,0.0
20200115:1330,76.59,4.16,-1.68,2.14,0.0
20200115:1430,142.12,12.89,-0.91,2.34,0.0
20200115:1530,277.16,20.01,0.23,2.76,0.0
20200115:1630,320.55,24.93,1.57,3.38,0.0
20200115:1730,527.59,27.13,2.78,3.31,0.0
20200115:1830,602.73,26.29,3.96,2.76,0.0
20200115:1930,152.55,22.54,5.22,2.28,0.0
20200115:2030,26.59,16.34,5.22,2.48,0.0
20200115:2130,11.69,8.27,4.5,2.55,0.0
20200115:2230,0.0,-1.14,3.7,2.21,0.0
20200115:2330,0.0,0.0,3.22,1.86,0.0
20200116:0030,0.0,0.0,2.93,1.45,0.0
20200116:0130,0.0,0.0,2.87,1.79,0.0
20200116:0230,0.0,0.0,3.1,2.83,0.0
20200116:0330,0.0,0.0,3.47,4.69,0.0
20200116:0430,0.0,0.0,3.5,5.66,0.0
20200116:0530,0.0,0.0,3.01,6.14,0.0
20200116:0630,0.0,0.0,2.38,6.34,0.0
20200116:0730,0.0,0.0,1.31,6.34,0.0
20200116:0830,0.0,0.0,1.34,5.79,0.0
20200116:0930,0.0,0.0,1.28,5.38,0.0
20200116:1030,0.0,0.0,1.25,5.17,0.0
20200116:1130,0.0,0.0,1.06,5.03,0.0
20200116:1230,0.0,0.0,0.82,5.1,0.0
20200116:1330,69.19,4.24,0.49,5.45,0.0
20200116:1430,105.62,13.0,0.1,6.0,0.0
20200116:1530,172.65,20.14,-0.14,6.69,0.0
20200116:1630,191.27,25.09,-0.52,7.31,0.0
20200116:1730,188.82,27.31,-0.86,7.52,0.0
20200116:1830,341.39,26.49,-1.03,7.38,0.0
20200116:1930,259.77,22.74,-0.71,7.59,0.0
20200116:2030,330.82,16.54,-1.17,7.24,0.0
20200116:2130,204.63,8.46,-1.64,6.69,0.0
20200116:2230,0.0,-0.95,-2.34,5.93,0.0
20200116:2330,0.0,0.0,-2.98,5.24,0.0
20200117:0030,0.0,0.0,-3.4,5.1,0.0
20200117:0130,0.0,0.0,-3.61,4.9,0.0
20200117:0230,0.0,0.0,-3.76,4.62,0.0
20200117:0330,0.0,0.0,-4.07,4.07,0.0
20200117:0430,0.0,0.0,-4.47,3.24,0.0
20200117:0530,0.0,0.0,-4.58,3.31,0.0
20200117:0630,0.0,0.0,-4.68,3.31,0.0
20200117:0730,0.0,0.0,-5.05,3.59,0.0
20200117:0830,0.0,0.0,-4.96,3.38,0.0
20200117:0930,0.0,0.0,-4.9,3.03,0.0
20200117:1030,0.0,0.0,-4.94,2.97,0.0
20200117:1130,0.0,0.0,-5.25,3.03,0.0
20200117:1230,0.0,0.0,-5.44,3.03,0.0
20200117:1330,253.38,4.33,-5.59,2.34,0.0
20200117:1430,521.49,13.11,-5.09,2.34,0.0
20200117:1530,688.35,20.28,-4.08,3.17,0.0
20200117:1630,788.2,25.26,-3.21,3.17,0.0
20200117:1730,840.44,27.5,-2.43,3.1,0.0
20200117:1830,407.62,26.69,-1.76,3.45,0.0
20200117:1930,248.5,22.95,-2.38,3.93,0.0
20200117:2030,186.22,16.75,-2.3,4.34,0.0
20200117:2130,67.64,8.66,-2.22,4.48,0.0
20200117:2230,0.0,-0.76,-2.3,4.07,0.0
20200117:2330,0.0,0.0,-2.35,3.86,0.0
20200118:0030,0.0,0.0,-2.28,3.31,0.0
20200118:0130,0.0,0.0,-2.17,3.79,0.0
20200118:0230,0.0,0.0,-1.98,3.52,0.0
20200118:0330,0.0,0.0,-1.94,3.59,0.0
20200118:0430,0.0,0.0,-2.17,3.66,0.0
20200118:0530,0.0,0.0,-2.48,3.93,0.0
20200118:0630,0.0,0.0,-2.67,4.62,0.0
20200118:0730,0.0,0.0,-2.7,6.07,0.0
20200118:0830,0.0,0.0,-2.56,6.21,0.0
20200118:0930,0.0,0.0,-2.2,5.31,0.0
20200118:1030,0.0,0.0,-1.63,5.93,0.0
20200118:1130,0.0,0.0,-1.09,6.14,0.0
20200118:1230,0.0,0.0,-0.39,6.07,0.0
20200118:1330,4.54,4.43,0.47,5.45,0.0
20200118:1430,31.4,13.23,0.97,6.07,0.0
20200118:1530,52.08,20.43,1.59,7.1,0.0
20200118:1630,60.29,25.43,2.4,7.72,0.0
20200118:1730,61.43,27.69,3.53,8.21,0.0
20200118:1830,65.53,26.9,4.51,8.62,0.0
20200118:1930,94.54,23.17,6.1,9.24,0.0
20200118:2030,34.0,16.96,6.38,9.38,0.0
20200118:2130,66.36,8.87,4.67,9.1,0.0
20200118:2230,0.0,-0.56,3.04,8.83,0.0
20200118:2330,0.0,0.0,2.11,8.41,0.0
20200119:0030,0.0,0.0,1.56,8.0,0.0
20200119:0130,0.0,0.0,0.97,8.14,0.0
20200119:0230,0.0,0.0,-0.65,9.1,0.0
20200119:0330,0.0,0.0,-3.62,9.24,0.0
20200119:0430,0.0,0.0,-5.82,8.48,0.0
20200119:0530,0.0,0.0,-7.16,8.07,0.0
20200119:0630,0.0,0.0,-8.21,7.66,0.0
20200119:0730,0.0,0.0,-7.95,7.59,0.0
20200119:0830,0.0,0.0,-8.4,7.38,0.0
20200119:0930,0.0,0.0,-8.84,7.1,0.0
20200119:1030,0.0,0.0,-9.23,6.9,0.0
20200119:1130,0.0,0.0,-9.67,6.62,0.0
20200119:1230,0.0,0.0,-9.98,6.55,0.0
20200119:1330,235.52,4.53,-10.21,6.48,0.0
20200119:1430,511.36,13.36,-10.05,7.03,0.0
20200119:1530,737.43,20.58,-9.2,7.93,0.0
20200119:1630,862.25,25.61,-7.77,8.0,0.0
20200119:1730,713.25,27.9,-6.34,7.72,0.0
20200119:1830,857.54,27.12,-5.22,7.52,0.0
20200119:1930,593.99,23.39,-5.58,6.69,0.0
20200119:2030,346.44,17.17,-5.13,6.34,0.0
20200119:2130,156.27,9.07,-5.03,6.41,0.0
20200119:2230,0.0,-0.36,-5.18,5.59,0.0
20200119:2330,0.0,0.0,-5.42,4.14,0.0
20200120:0030,0.0,0.0,-5.37,3.38,0.0
20200120:0130,0.0,0.0,-5.88,3.52,0.0
20200120:0230,0.0,0.0,-6.25,3.66,0.0
20200120:0330,0.0,0.0,-7.21,3.66,0.0
20200120:0430,0.0,0.0,-8.02,3.59,0.0
20200120:0530,0.0,0.0,-8.59,3.45,0.0
20200120:0630,0.0,0.0,-9.08,3.31,0.0
20200120:0730,0.0,0.0,-9.72,3.31,0.0
20200120:0830,0.0,0.0,-10.21,3.17,0.0
20200120:0930,0.0,0.0,-10.59,3.03,0.0
20200120:1030,0.0,0.0,-10.83,2.97,0.0
20200120:1130,0.0,0.0,-11.05,2.9,0.0
20200120:1230,0.0,0.0,-11.29,2.83,0.0
20200120:1330,159.09,4.64,-11.46,2.83,0.0
20200120:1430,409.52,13.49,-11.09,2.83,0.0
20200120:1530,728.39,20.74,-10.06,2.9,0.0
20200120:1630,890.49,25.8,-8.63,2.76,0.0
20200120:1730,945.12,28.11,-7.19,2.62,0.0
20200120:1830,917.58,27.34,-6.06,2.48,0.0
20200120:1930,810.37,23.61,-5.4,2.21,0.0
20200120:2030,649.54,17.39,-5.08,2.21,0.0
20200120:2130,389.83,9.29,-5.1,2.21,0.0
20200120:2230,0.0,-0.16,-5.7,2.0,0.0
20200120:2330,0.0,0.0,-7.25,2.07,0.0
20200121:0030,0.0,0.0,-8.56,2.41,0.0
20200121:0130,0.0,0.0,-9.29,2.62,0.0
20200121:0230,0.0,0.0,-10.0,2.41,0.0
20200121:0330,0.0,0.0,-10.3,1.86,0.0
20200121:0430,0.0,0.0,-8.46,1.45,0.0
20200121:0530,0.0,0.0,-8.84,1.52,0.0
20200121:0630,0.0,0.0,-10.15,1.72,0.0
20200121:0730,0.0,0.0,-9.77,1.93,0.0
20200121:0830,0.0,0.0,-8.9,2.07,0.0
20200121:0930,0.0,0.0,-8.48,2.07,0.0
20200121:1030,0.0,0.0,-8.89,2.14,0.0
20200121:1130,0.0,0.0,-9.52,2.21,0.0
20200121:1230,0.0,0.0,-10.28,2.28,0.0
20200121:1330,238.18,4.76,-11.22,2.07,0.0
20200121:1430,526.72,13.63,-9.99,1.79,0.0
20200121:1530,752.22,20.91,-9.16,1.93,0.0
20200121:1630,714.63,25.99,-5.47,2.62,0.0
20200121:1730,809.17,28.32,-3.93,2.97,0.0
20200121:1830,764.15,27.57,-3.1,3.17,0.0
20200121:1930,592.35,23.84,-2.22,3.03,0.0
20200121:2030,405.02,17.62,-1.78,3.24,0.0
