Latitude (decimal degrees):	41.662
Longitude (decimal degrees):	-83.612
Elevation (m):	181
Radiation database:	PVGIS-ERA5


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0030,0.0,0.0,0.0,0.0,-2.32,5.45,0.0
20200101:0130,0.0,0.0,0.0,0.0,-2.39,5.66,0.0
20200101:0230,0.0,0.0,0.0,0.0,-2.45,5.52,0.0
20200101:0330,0.0,0.0,0.0,0.0,-2.36,5.52,0.0
20200101:0430,0.0,0.0,0.0,0.0,-2.41,4.97,0.0
20200101:0530,0.0,0.0,0.0,0.0,-2.65,5.17,0.0
20200101:0630,0.0,0.0,0.0,0.0,-3.16,5.03,0.0
20200101:0730,0.0,0.0,0.0,0.0,-3.37,4.97,0.0
20200101:0830,0.0,0.0,0.0,0.0,-3.12,4.41,0.0
20200101:0930,0.0,0.0,0.0,0.0,-2.91,4.41,0.0
20200101:1030,0.0,0.0,0.0,0.0,-2.93,4.69,0.0
20200101:1130,0.0,0.0,0.0,0.0,-3.3,4.55,0.0
20200101:1230,0.0,0.0,0.0,0.0,-3.28,4.48,0.0
20200101:1330,159.63,32.12,1.2,3.63,-3.4,4.28,0.0
20200101:1430,315.69,107.38,4.84,12.09,-3.09,3.93,0.0
20200101:1530,451.8,163.4,8.38,18.88,-2.15,4.83,0.0
20200101:1630,603.91,175.01,11.0,23.45,-1.14,5.38,0.0
20200101:1730,763.27,153.45,12.78,25.3,-0.08,5.59,0.0
20200101:1830,787.81,130.39,12.46,24.21,1.05,5.59,0.0
20200101:1930,661.04,124.4,10.08,20.31,2.32,5.31,0.0
20200101:2030,488.49,103.93,6.58,14.05,3.14,5.24,0.0
20200101:2130,237.47,64.86,2.27,5.98,3.38,4.62,0.0
20200101:2230,0.0,0.0,0.0,-3.39,2.64,4.21,0.0
20200101:2330,0.0,0.0,0.0,0.0,1.73,4.21,0.0
20200102:0030,0.0,0.0,0.0,0.0,1.46,4.76,0.0
20200102:0130,0.0,0.0,0.0,0.0,1.58,5.38,0.0
20200102:0230,0.0,0.0,0.0,0.0,1.82,5.86,0.0
20200102:0330,0.0,0.0,0.0,0.0,2.17,6.28,0.0
20200102:0430,0.0,0.0,0.0,0.0,2.47,6.48,0.0
20200102:0530,0.0,0.0,0.0,0.0,2.73,6.41,0.0
20200102:0630,0.0,0.0,0.0,0.0,2.82,6.41,0.0
20200102:0730,0.0,0.0,0.0,0.0,2.9,6.14,0.0
20200102:0830,0.0,0.0,0.0,0.0,2.79,6.21,0.0
20200102:0930,0.0,0.0,0.0,0.0,2.84,6.28,0.0
20200102:1030,0.0,0.0,0.0,0.0,2.8,5.86,0.0
20200102:1130,0.0,0.0,0.0,0.0,2.68,5.59,0.0
20200102:1230,0.0,0.0,0.0,0.0,2.61,5.52,0.0
20200102:1330,199.39,32.22,1.3,3.63,2.54,5.52,0.0
20200102:1430,376.44,96.35,5.09,12.1,3.14,5.59,0.0
20200102:1530,452.31,152.97,8.2,18.91,4.55,5.31,0.0
20200102:1630,270.37,216.33,8.8,23.51,6.11,5.66,0.0
20200102:1730,193.92,229.84,8.82,25.39,7.19,6.34,0.0
20200102:1830,401.47,216.16,9.99,24.31,8.01,6.48,0.0
20200102:1930,186.85,189.33,7.19,20.43,9.25,6.97,0.0
20200102:2030,91.92,104.89,3.85,14.18,9.53,6.41,0.0
20200102:2130,14.39,34.48,1.17,6.11,9.34,5.93,0.0
20200102:2230,0.0,0.0,0.0,-3.26,8.83,5.59,0.0
20200102:2330,0.0,0.0,0.0,0.0,8.32,5.31,0.0
20200103:0030,0.0,0.0,0.0,0.0,8.28,5.03,0.0
20200103:0130,0.0,0.0,0.0,0.0,8.14,4.55,0.0
20200103:0230,0.0,0.0,0.0,0.0,8.02,4.07,0.0
20200103:0330,0.0,0.0,0.0,0.0,7.89,4.14,0.0
20200103:0430,0.0,0.0,0.0,0.0,7.77,3.93,0.0
20200103:0530,0.0,0.0,0.0,0.0,7.69,3.66,0.0
20200103:0630,0.0,0.0,0.0,0.0,7.48,3.17,0.0
20200103:0730,0.0,0.0,0.0,0.0,7.26,2.97,0.0
20200103:0830,0.0,0.0,0.0,0.0,7.28,2.83,0.0
20200103:0930,0.0,0.0,0.0,0.0,7.16,2.41,0.0
20200103:1030,0.0,0.0,0.0,0.0,6.99,2.28,0.0
20200103:1130,0.0,0.0,0.0,0.0,6.65,2.34,0.0
20200103:1230,0.0,0.0,0.0,0.0,6.37,2.07,0.0
20200103:1330,0.0,7.8,0.27,3.63,6.2,1.79,0.0
20200103:1430,18.82,46.06,1.67,12.12,5.94,1.52,0.0
20200103:1530,106.94,108.37,4.36,18.95,6.52,1.72,0.0
20200103:1630,247.67,137.84,6.68,23.57,7.32,2.28,0.0
20200103:1730,161.08,148.04,6.32,25.48,8.03,1.93,0.0
20200103:1830,59.84,133.34,5.01,24.42,8.45,1.72,0.0
20200103:1930,27.63,94.95,3.45,20.55,8.25,1.79,0.0
20200103:2030,23.0,60.28,2.19,14.31,8.36,1.59,0.0
20200103:2130,5.18,17.37,0.61,6.25,8.09,1.17,0.0
20200103:2230,0.0,0.0,0.0,-3.12,7.43,1.1,0.0
20200103:2330,0.0,0.0,0.0,0.0,6.56,1.52,0.0
20200104:0030,0.0,0.0,0.0,0.0,6.1,2.14,0.0
20200104:0130,0.0,0.0,0.0,0.0,5.58,2.48,0.0
20200104:0230,0.0,0.0,0.0,0.0,5.04,2.62,0.0
20200104:0330,0.0,0.0,0.0,0.0,4.46,2.55,0.0
20200104:0430,0.0,0.0,0.0,0.0,3.91,2.76,0.0
20200104:0530,0.0,0.0,0.0,0.0,3.39,3.17,0.0
20200104:0630,0.0,0.0,0.0,0.0,2.69,3.17,0.0
20200104:0730,0.0,0.0,0.0,0.0,2.52,2.9,0.0
20200104:0830,0.0,0.0,0.0,0.0,2.12,2.48,0.0
20200104:0930,0.0,0.0,0.0,0.0,1.94,1.72,0.0
20200104:1030,0.0,0.0,0.0,0.0,1.84,1.93,0.0
20200104:1130,0.0,0.0,0.0,0.0,1.65,2.21,0.0
20200104:1230,0.0,0.0,0.0,0.0,1.76,2.21,0.0
20200104:1330,7.8,11.23,0.4,3.64,1.59,2.28,0.0
20200104:1430,4.15,59.34,2.05,12.15,1.53,2.28,0.0
20200104:1530,109.69,120.81,4.74,19.0,1.72,3.52,0.0
20200104:1630,58.67,133.08,4.97,23.65,2.32,3.86,0.0
20200104:1730,8.41,108.72,3.8,25.57,2.63,4.14,0.0
20200104:1830,61.62,112.02,4.35,24.54,2.48,4.0,0.0
20200104:1930,28.81,107.5,3.87,20.69,2.68,4.41,0.0
20200104:2030,29.42,61.6,2.27,14.45,2.54,4.55,0.0
20200104:2130,1.62,19.04,0.66,6.39,2.2,4.55,0.0
20200104:2230,0.0,0.0,0.0,-2.98,1.84,4.76,0.0
20200104:2330,0.0,0.0,0.0,0.0,1.45,4.62,0.0
20200105:0030,0.0,0.0,0.0,0.0,1.14,4.41,0.0
20200105:0130,0.0,0.0,0.0,0.0,0.84,4.62,0.0
20200105:0230,0.0,0.0,0.0,0.0,0.56,5.17,0.0
20200105:0330,0.0,0.0,0.0,0.0,0.13,5.45,0.0
20200105:0430,0.0,0.0,0.0,0.0,-0.09,5.24,0.0
20200105:0530,0.0,0.0,0.0,0.0,-0.24,4.83,0.0
20200105:0630,0.0,0.0,0.0,0.0,-0.51,4.55,0.0
20200105:0730,0.0,0.0,0.0,0.0,-0.98,4.69,0.0
20200105:0830,0.0,0.0,0.0,0.0,-1.33,4.21,0.0
20200105:0930,0.0,0.0,0.0,0.0,-1.76,3.79,0.0
20200105:1030,0.0,0.0,0.0,0.0,-2.22,3.52,0.0
20200105:1130,0.0,0.0,0.0,0.0,-2.51,3.1,0.0
20200105:1230,0.0,0.0,0.0,0.0,-2.65,3.17,0.0
20200105:1330,171.53,35.19,1.29,3.66,-2.88,3.24,0.0
20200105:1430,419.82,93.66,5.43,12.19,-2.3,3.31,0.0
20200105:1530,443.03,159.3,8.3,19.06,-1.02,4.69,0.0
20200105:1630,376.72,205.98,9.49,23.73,-0.01,5.31,0.0
20200105:1730,503.5,197.93,10.85,25.68,0.69,5.17,0.0
20200105:1830,128.54,181.99,6.99,24.67,1.77,5.52,0.0
20200105:1930,233.56,161.46,6.87,20.82,2.18,5.38,0.0
20200105:2030,0.0,50.91,1.75,14.59,3.04,5.66,0.0
20200105:2130,53.26,18.71,0.83,6.54,2.94,5.1,0.0
20200105:2230,0.0,0.0,0.0,-2.83,3.33,5.52,0.0
20200105:2330,0.0,0.0,0.0,0.0,3.7,6.48,0.0
20200106:0030,0.0,0.0,0.0,0.0,4.43,6.97,0.0
20200106:0130,0.0,0.0,0.0,0.0,4.47,7.1,0.0
20200106:0230,0.0,0.0,0.0,0.0,4.48,7.24,0.0
20200106:0330,0.0,0.0,0.0,0.0,4.42,7.1,0.0
20200106:0430,0.0,0.0,0.0,0.0,4.24,6.83,0.0
20200106:0530,0.0,0.0,0.0,0.0,3.97,6.9,0.0
20200106:0630,0.0,0.0,0.0,0.0,3.45,6.97,0.0
20200106:0730,0.0,0.0,0.0,0.0,2.84,6.41,0.0
20200106:0830,0.0,0.0,0.0,0.0,2.55,6.48,0.0
20200106:0930,0.0,0.0,0.0,0.0,2.16,6.34,0.0
20200106:1030,0.0,0.0,0.0,0.0,1.83,6.34,0.0
20200106:1130,0.0,0.0,0.0,0.0,1.34,5.86,0.0
20200106:1230,0.0,0.0,0.0,0.0,0.67,5.24,0.0
20200106:1330,195.88,34.29,1.35,3.68,-0.2,4.83,0.0
20200106:1430,431.91,96.84,5.59,12.23,-0.38,4.55,0.0
20200106:1530,636.78,116.68,9.5,19.12,0.56,4.76,0.0
20200106:1630,773.68,126.51,12.23,23.81,1.87,5.38,0.0
20200106:1730,832.64,126.79,13.36,25.79,3.27,5.86,0.0
20200106:1830,772.64,137.39,12.61,24.8,4.42,6.41,0.0
20200106:1930,671.02,126.23,10.44,20.97,5.48,6.83,0.0
20200106:2030,493.42,105.6,6.88,14.75,5.83,6.76,0.0
20200106:2130,257.84,68.86,2.62,6.69,5.59,6.0,0.0
20200106:2230,0.0,0.0,0.0,-2.68,4.55,5.38,0.0
20200106:2330,0.0,0.0,0.0,0.0,3.3,5.03,0.0
20200107:0030,0.0,0.0,0.0,0.0,2.43,4.69,0.0
20200107:0130,0.0,0.0,0.0,0.0,1.79,4.21,0.0
20200107:0230,0.0,0.0,0.0,0.0,1.27,3.72,0.0
20200107:0330,0.0,0.0,0.0,0.0,0.8,3.17,0.0
20200107:0430,0.0,0.0,0.0,0.0,0.36,2.69,0.0
20200107:0530,0.0,0.0,0.0,0.0,0.06,2.34,0.0
20200107:0630,0.0,0.0,0.0,0.0,-0.32,2.28,0.0
20200107:0730,0.0,0.0,0.0,0.0,-0.32,2.28,0.0
20200107:0830,0.0,0.0,0.0,0.0,-0.53,2.21,0.0
20200107:0930,0.0,0.0,0.0,0.0,-0.92,2.21,0.0
20200107:1030,0.0,0.0,0.0,0.0,-1.34,2.14,0.0
20200107:1130,0.0,0.0,0.0,0.0,-1.55,2.07,0.0
20200107:1230,0.0,0.0,0.0,0.0,-1.69,2.07,0.0
20200107:1330,1.38,23.01,0.79,3.71,-1.71,2.07,0.0
20200107:1430,51.84,101.75,3.51,12.27,-1.18,2.0,0.0
20200107:1530,312.94,170.08,7.47,19.19,0.3,2.41,0.0
20200107:1630,413.71,218.62,10.15,23.91,2.17,2.97,0.0
20200107:1730,480.61,230.99,11.37,25.91,3.85,3.93,0.0
20200107:1830,400.08,221.3,10.25,24.94,4.94,4.76,0.0
20200107:1930,375.95,196.36,8.87,21.12,5.58,5.03,0.0
20200107:2030,248.31,136.69,5.57,14.9,5.77,5.45,0.0
20200107:2130,130.98,69.13,2.22,6.85,5.32,5.45,0.0
20200107:2230,0.0,0.0,0.0,-2.52,4.25,5.59,0.0
20200107:2330,0.0,0.0,0.0,0.0,3.07,5.1,0.0
20200108:0030,0.0,0.0,0.0,0.0,2.16,5.03,0.0
20200108:0130,0.0,0.0,0.0,0.0,1.19,4.76,0.0
20200108:0230,0.0,0.0,0.0,0.0,0.7,4.48,0.0
20200108:0330,0.0,0.0,0.0,0.0,0.54,4.28,0.0
20200108:0430,0.0,0.0,0.0,0.0,0.71,5.1,0.0
20200108:0530,0.0,0.0,0.0,0.0,0.23,6.07,0.0
20200108:0630,0.0,0.0,0.0,0.0,0.17,6.34,0.0
20200108:0730,0.0,0.0,0.0,0.0,-0.09,6.28,0.0
20200108:0830,0.0,0.0,0.0,0.0,-0.62,5.93,0.0
20200108:0930,0.0,0.0,0.0,0.0,-1.13,5.72,0.0
20200108:1030,0.0,0.0,0.0,0.0,-1.56,6.0,0.0
20200108:1130,0.0,0.0,0.0,0.0,-1.89,6.48,0.0
20200108:1230,0.0,0.0,0.0,0.0,-2.48,6.69,0.0
20200108:1330,159.14,34.29,1.27,3.74,-3.3,6.48,0.0
20200108:1430,158.74,106.95,4.01,12.33,-3.66,6.28,0.0
20200108:1530,393.48,166.64,8.09,19.27,-3.46,6.62,0.0
20200108:1630,640.03,178.54,11.68,24.01,-3.03,6.28,0.0
20200108:1730,682.73,181.08,12.6,26.04,-2.57,5.93,0.0
20200108:1830,460.99,222.64,10.88,25.08,-2.32,5.66,0.0
20200108:1930,556.95,163.71,9.98,21.27,-2.67,5.17,0.0
20200108:2030,406.36,134.38,6.72,15.06,-2.59,4.69,0.0
20200108:2130,274.33,73.47,2.86,7.01,-2.64,4.21,0.0
20200108:2230,0.0,0.0,0.0,-2.37,-3.28,2.62,0.0
20200108:2330,0.0,0.0,0.0,0.0,-4.02,1.79,0.0
20200109:0030,0.0,0.0,0.0,0.0,-4.81,1.24,0.0
20200109:0130,0.0,0.0,0.0,0.0,-5.4,1.17,0.0
20200109:0230,0.0,0.0,0.0,0.0,-5.41,1.1,0.0
20200109:0330,0.0,0.0,0.0,0.0,-4.53,0.76,0.0
20200109:0430,0.0,0.0,0.0,0.0,-5.95,1.66,0.0
20200109:0530,0.0,0.0,0.0,0.0,-5.53,2.07,0.0
20200109:0630,0.0,0.0,0.0,0.0,-5.22,2.28,0.0
20200109:0730,0.0,0.0,0.0,0.0,-5.78,3.1,0.0
20200109:0830,0.0,0.0,0.0,0.0,-5.51,3.17,0.0
20200109:0930,0.0,0.0,0.0,0.0,-5.27,3.59,0.0
20200109:1030,0.0,0.0,0.0,0.0,-5.16,4.21,0.0
20200109:1130,0.0,0.0,0.0,0.0,-4.99,4.55,0.0
20200109:1230,0.0,0.0,0.0,0.0,-4.7,4.69,0.0
20200109:1330,143.88,36.85,1.29,3.78,-4.57,4.76,0.0
20200109:1430,374.18,105.56,5.36,12.39,-3.8,4.48,0.0
20200109:1530,237.87,182.6,7.25,19.36,-1.93,5.1,0.0
20200109:1630,226.43,210.38,8.45,24.12,0.15,5.38,0.0
20200109:1730,93.8,202.44,7.47,26.17,2.4,5.59,0.0
20200109:1830,167.46,207.79,8.06,25.24,4.15,5.45,0.0
20200109:1930,85.86,174.04,6.33,21.44,6.32,6.14,0.0
20200109:2030,41.33,120.15,4.2,15.23,7.5,7.17,0.0
20200109:2130,29.53,51.53,1.72,7.18,8.14,7.31,0.0
20200109:2230,0.0,0.0,0.0,-2.2,8.2,7.66,0.0
20200109:2330,0.0,0.0,0.0,0.0,8.21,8.07,0.0
20200110:0030,0.0,0.0,0.0,0.0,8.48,7.93,0.0
20200110:0130,0.0,0.0,0.0,0.0,8.2,7.38,0.0
20200110:0230,0.0,0.0,0.0,0.0,8.01,7.52,0.0
20200110:0330,0.0,0.0,0.0,0.0,8.23,7.72,0.0
20200110:0430,0.0,0.0,0.0,0.0,8.11,7.79,0.0
20200110:0530,0.0,0.0,0.0,0.0,8.22,7.86,0.0
20200110:0630,0.0,0.0,0.0,0.0,7.99,7.93,0.0
20200110:0730,0.0,0.0,0.0,0.0,6.69,6.62,0.0
20200110:0830,0.0,0.0,0.0,0.0,6.44,6.41,0.0
20200110:0930,0.0,0.0,0.0,0.0,6.68,6.14,0.0
20200110:1030,0.0,0.0,0.0,0.0,6.95,5.93,0.0
20200110:1130,0.0,0.0,0.0,0.0,7.18,5.79,0.0
20200110:1230,0.0,0.0,0.0,0.0,7.46,5.52,0.0
20200110:1330,0.0,6.01,0.21,3.83,7.71,5.1,0.0
20200110:1430,0.0,20.34,0.7,12.46,8.12,4.97,0.0
20200110:1530,0.0,24.9,0.86,19.45,8.52,5.03,0.0
20200110:1630,5.72,45.65,1.63,24.24,9.01,5.31,0.0
20200110:1730,0.0,33.0,1.13,26.31,9.58,5.1,0.0
20200110:1830,0.0,40.33,1.39,25.39,9.85,4.97,0.0
20200110:1930,2.3,36.98,1.29,21.61,10.36,4.48,0.0
20200110:2030,0.0,16.42,0.56,15.4,10.76,4.41,0.0
20200110:2130,0.0,10.92,0.37,7.35,10.82,3.79,0.0
20200110:2230,0.0,0.0,0.0,-2.03,10.75,3.1,0.0
20200110:2330,0.0,0.0,0.0,0.0,10.53,2.97,0.0
20200111:0030,0.0,0.0,0.0,0.0,10.49,2.83,0.0
20200111:0130,0.0,0.0,0.0,0.0,10.54,2.83,0.0
20200111:0230,0.0,0.0,0.0,0.0,10.66,3.31,0.0
20200111:0330,0.0,0.0,0.0,0.0,11.27,4.07,0.0
20200111:0430,0.0,0.0,0.0,0.0,11.68,4.9,0.0
20200111:0530,0.0,0.0,0.0,0.0,11.95,5.72,0.0
20200111:0630,0.0,0.0,0.0,0.0,12.34,6.76,0.0
20200111:0730,0.0,0.0,0.0,0.0,12.71,6.9,0.0
20200111:0830,0.0,0.0,0.0,0.0,12.9,7.31,0.0
20200111:0930,0.0,0.0,0.0,0.0,13.2,7.79,0.0
20200111:1030,0.0,0.0,0.0,0.0,13.67,8.28,0.0
20200111:1130,0.0,0.0,0.0,0.0,14.15,8.83,0.0
20200111:1230,0.0,0.0,0.0,0.0,14.6,8.97,0.0
20200111:1330,0.0,6.4,0.22,3.88,14.83,9.45,0.0
20200111:1430,0.44,48.5,1.67,12.53,15.22,9.93,0.0
20200111:1530,0.0,17.1,0.59,19.55,15.92,10.14,0.0
20200111:1630,0.0,18.21,0.63,24.37,16.27,6.97,0.0
20200111:1730,0.43,28.8,0.99,26.46,12.94,3.31,0.0
20200111:1830,0.0,15.99,0.55,25.56,6.03,7.72,0.0
20200111:1930,0.0,17.48,0.6,21.78,3.51,6.48,0.0
20200111:2030,0.26,13.95,0.48,15.58,2.33,5.45,0.0
20200111:2130,0.0,6.95,0.24,7.52,2.49,4.97,0.0
20200111:2230,0.0,0.0,0.0,-1.86,2.46,4.55,0.0
20200111:2330,0.0,0.0,0.0,0.0,2.39,4.69,0.0
20200112:0030,0.0,0.0,0.0,0.0,2.15,5.03,0.0
20200112:0130,0.0,0.0,0.0,0.0,1.93,4.9,0.0
20200112:0230,0.0,0.0,0.0,0.0,1.72,4.83,0.0
20200112:0330,0.0,0.0,0.0,0.0,1.57,4.55,0.0
20200112:0430,0.0,0.0,0.0,0.0,1.14,5.24,0.0
20200112:0530,0.0,0.0,0.0,0.0,0.69,4.48,0.0
20200112:0630,0.0,0.0,0.0,0.0,0.38,4.0,0.0
20200112:0730,0.0,0.0,0.0,0.0,-0.47,5.45,0.0
20200112:0830,0.0,0.0,0.0,0.0,-1.04,6.14,0.0
20200112:0930,0.0,0.0,0.0,0.0,-1.65,6.48,0.0
20200112:1030,0.0,0.0,0.0,0.0,-2.19,4.69,0.0
20200112:1130,0.0,0.0,0.0,0.0,-2.79,3.59,0.0
20200112:1230,0.0,0.0,0.0,0.0,-3.11,3.31,0.0
20200112:1330,79.91,30.94,1.07,3.94,-3.24,3.45,0.0
20200112:1430,94.69,103.87,3.73,12.61,-3.03,3.45,0.0
20200112:1530,217.06,169.15,6.85,19.65,-2.49,2.69,0.0
20200112:1630,221.67,225.67,8.88,24.5,-1.73,2.07,0.0
20200112:1730,256.86,233.79,9.59,26.62,-0.91,1.79,0.0
20200112:1830,106.39,209.19,7.74,25.73,-0.17,1.72,0.0
20200112:1930,41.32,155.78,5.55,21.96,0.32,1.17,0.0
20200112:2030,42.48,112.36,3.99,15.76,0.46,0.34,0.0
20200112:2130,19.12,40.55,1.41,7.7,0.56,0.9,0.0
20200112:2230,0.0,0.0,0.0,-1.69,0.51,1.86,0.0
20200112:2330,0.0,0.0,0.0,0.0,0.25,2.34,0.0
20200113:0030,0.0,0.0,0.0,0.0,-0.08,2.97,0.0
20200113:0130,0.0,0.0,0.0,0.0,-0.43,3.52,0.0
20200113:0230,0.0,0.0,0.0,0.0,-0.57,3.59,0.0
20200113:0330,0.0,0.0,0.0,0.0,-0.54,3.66,0.0
20200113:0430,0.0,0.0,0.0,0.0,-0.37,3.59,0.0
20200113:0530,0.0,0.0,0.0,0.0,-0.08,3.38,0.0
20200113:0630,0.0,0.0,0.0,0.0,0.28,3.03,0.0
20200113:0730,0.0,0.0,0.0,0.0,0.53,2.55,0.0
20200113:0830,0.0,0.0,0.0,0.0,0.71,1.52,0.0
20200113:0930,0.0,0.0,0.0,0.0,1.06,0.97,0.0
20200113:1030,0.0,0.0,0.0,0.0,0.92,1.1,0.0
20200113:1130,0.0,0.0,0.0,0.0,1.31,1.79,0.0
20200113:1230,0.0,0.0,0.0,0.0,1.63,2.41,0.0
20200113:1330,56.69,23.2,0.85,4.01,1.93,2.69,0.0
20200113:1430,56.82,69.77,2.62,12.7,2.61,2.83,0.0
20200113:1530,169.33,110.31,5.01,19.76,3.25,3.52,0.0
20200113:1630,47.05,141.21,5.18,24.64,3.69,4.69,0.0
20200113:1730,120.03,185.37,7.18,26.78,3.94,4.48,0.0
20200113:1830,72.2,155.15,5.85,25.91,4.38,4.21,0.0
20200113:1930,73.2,147.21,5.48,22.15,4.35,4.07,0.0
20200113:2030,62.87,117.27,4.23,15.95,4.43,3.59,0.0
20200113:2130,82.09,63.47,2.16,7.89,4.41,3.1,0.0
20200113:2230,0.0,0.0,0.0,-1.51,3.84,1.86,0.0
20200113:2330,0.0,0.0,0.0,0.0,3.0,1.1,0.0
20200114:0030,0.0,0.0,0.0,0.0,2.66,0.21,0.0
20200114:0130,0.0,0.0,0.0,0.0,0.93,1.1,0.0
20200114:0230,0.0,0.0,0.0,0.0,-0.09,1.86,0.0
20200114:0330,0.0,0.0,0.0,0.0,-0.25,2.34,0.0
20200114:0430,0.0,0.0,0.0,0.0,-0.05,2.62,0.0
20200114:0530,0.0,0.0,0.0,0.0,-0.09,2.9,0.0
20200114:0630,0.0,0.0,0.0,0.0,-0.37,3.31,0.0
20200114:0730,0.0,0.0,0.0,0.0,-0.21,3.66,0.0
20200114:0830,0.0,0.0,0.0,0.0,-0.2,3.66,0.0
20200114:0930,0.0,0.0,0.0,0.0,-0.38,3.59,0.0
20200114:1030,0.0,0.0,0.0,0.0,-0.46,3.24,0.0
20200114:1130,0.0,0.0,0.0,0.0,-0.59,2.48,0.0
20200114:1230,0.0,0.0,0.0,0.0,-0.77,2.28,0.0
20200114:1330,180.88,32.6,1.39,4.08,-0.65,2.07,0.0
20200114:1430,341.34,87.87,4.98,12.79,0.27,2.07,0.0
20200114:1530,401.48,112.01,7.27,19.88,2.73,2.97,0.0
20200114:1630,709.77,131.9,11.96,24.78,4.79,4.07,0.0
20200114:1730,817.2,119.71,13.49,26.95,6.71,5.59,0.0
20200114:1830,795.66,121.05,13.09,26.1,8.08,6.69,0.0
20200114:1930,720.36,108.35,11.21,22.34,8.45,6.07,0.0
20200114:2030,545.65,100.64,7.79,16.14,8.95,5.86,0.0
20200114:2130,242.28,74.68,3.05,8.07,8.79,5.72,0.0
20200114:2230,0.0,0.0,0.0,-1.32,7.6,5.17,0.0
20200114:2330,0.0,0.0,0.0,0.0,6.2,4.9,0.0
20200115:0030,0.0,0.0,0.0,0.0,5.35,4.76,0.0
20200115:0130,0.0,0.0,0.0,0.0,4.47,4.55,0.0
20200115:0230,0.0,0.0,0.0,0.0,3.77,4.14,0.0
20200115:0330,0.0,0.0,0.0,0.0,3.0,3.66,0.0
20200115:0430,0.0,0.0,0.0,0.0,2.25,3.1,0.0
20200115:0530,0.0,0.0,0.0,0.0,1.43,2.62,0.0
20200115:0630,0.0,0.0,0.0,0.0,0.68,2.34,0.0
20200115:0730,0.0,0.0,0.0,0.0,0.12,1.93,0.0
20200115:0830,0.0,0.0,0.0,0.0,0.48,0.62,0.0
20200115:0930,0.0,0.0,0.0,0.0,-1.6,1.38,0.0
20200115:1030,0.0,0.0,0.0,0.0,-2.5,1.72,0.0
20200115:1130,0.0,0.0,0.0,0.0,-2.15,1.17,0.0
20200115:1230,0.0,0.0,0.0,0.0,-2.57,1.66,0.0
20200115:1330,51.37,24.34,0.88,4.16,-1.68,2.14,0.0
20200115:1430,56.03,83.07,3.03,12.89,-0.91,2.34,0.0
20200115:1530,126.37,145.13,5.66,20.01,0.23,2.76,0.0
20200115:1630,128.21,185.19,7.15,24.93,1.57,3.38,0.0
20200115:1730,288.63,229.13,9.83,27.13,2.78,3.31,0.0
20200115:1830,408.51,184.4,9.83,26.29,3.96,2.76,0.0
20200115:1930,71.36,77.85,3.35,22.54,5.22,2.28,0.0
20200115:2030,0.0,25.71,0.88,16.34,5.22,2.48,0.0
20200115:2130,0.0,11.3,0.39,8.27,4.5,2.55,0.0
20200115:2230,0.0,0.0,0.0,-1.14,3.7,2.21,0.0
20200115:2330,0.0,0.0,0.0,0.0,3.22,1.86,0.0
20200116:0030,0.0,0.0,0.0,0.0,2.93,1.45,0.0
20200116:0130,0.0,0.0,0.0,0.0,2.87,1.79,0.0
20200116:0230,0.0,0.0,0.0,0.0,3.1,2.83,0.0
20200116:0330,0.0,0.0,0.0,0.0,3.47,4.69,0.0
20200116:0430,0.0,0.0,0.0,0.0,3.5,5.66,0.0
20200116:0530,0.0,0.0,0.0,0.0,3.01,6.14,0.0
20200116:0630,0.0,0.0,0.0,0.0,2.38,6.34,0.0
20200116:0730,0.0,0.0,0.0,0.0,1.31,6.34,0.0
20200116:0830,0.0,0.0,0.0,0.0,1.34,5.79,0.0
20200116:0930,0.0,0.0,0.0,0.0,1.28,5.38,0.0
20200116:1030,0.0,0.0,0.0,0.0,1.25,5.17,0.0
20200116:1130,0.0,0.0,0.0,0.0,1.06,5.03,0.0
20200116:1230,0.0,0.0,0.0,0.0,0.82,5.1,0.0
20200116:1330,50.83,17.64,0.71,4.24,0.49,5.45,0.0
20200116:1430,44.6,58.77,2.25,13.0,0.1,6.0,0.0
20200116:1530,82.67,86.35,3.63,20.14,-0.14,6.69,0.0
20200116:1630,70.11,116.55,4.61,25.09,-0.52,7.31,0.0
20200116:1730,41.17,142.43,5.23,27.31,-0.86,7.52,0.0
20200116:1830,142.67,191.19,7.54,26.49,-1.03,7.38,0.0
20200116:1930,98.52,155.31,5.94,22.74,-0.71,7.59,0.0
20200116:2030,195.8,129.63,5.39,16.54,-1.17,7.24,0.0
20200116:2130,120.33,81.53,2.76,8.46,-1.64,6.69,0.0
20200116:2230,0.0,0.0,0.0,-0.95,-2.34,5.93,0.0
20200116:2330,0.0,0.0,0.0,0.0,-2.98,5.24,0.0
20200117:0030,0.0,0.0,0.0,0.0,-3.4,5.1,0.0
20200117:0130,0.0,0.0,0.0,0.0,-3.61,4.9,0.0
20200117:0230,0.0,0.0,0.0,0.0,-3.76,4.62,0.0
20200117:0330,0.0,0.0,0.0,0.0,-4.07,4.07,0.0
20200117:0430,0.0,0.0,0.0,0.0,-4.47,3.24,0.0
20200117:0530,0.0,0.0,0.0,0.0,-4.58,3.31,0.0
20200117:0630,0.0,0.0,0.0,0.0,-4.68,3.31,0.0
20200117:0730,0.0,0.0,0.0,0.0,-5.05,3.59,0.0
